#title: Spectral profile - TWHydra_HCOplusline.image.fits-raster
#region (world): Rectangle[[11:01:52.209, -34d42m21.571], [11:01:51.547, -34d42m13.494]]
#region (pixel): Rectangle[[35, 35], [62, 62]]
#coordinate: world
#xLabel: frequency [GHz]
#yLabel: [Kelvin] Mean

# TWHydra_HCOplusline.image.fits-raster
3.567389526367e+02 7.968362420797e-03
3.567388305664e+02 1.031817495823e-02
3.567386779785e+02 9.482898749411e-03
3.567385253906e+02 8.059527724981e-03
3.567384033203e+02 5.010843742639e-03
3.567382507324e+02 1.582670724019e-03
3.567380981445e+02 -3.063509473577e-03
3.567379455566e+02 -8.356790058315e-03
3.567378234863e+02 -8.413782343268e-03
3.567376708984e+02 2.371463633608e-04
3.567375183105e+02 -7.788748480380e-03
3.567373962402e+02 -7.950061000884e-03
3.567372436523e+02 -2.257365733385e-03
3.567370910645e+02 -1.221875194460e-03
3.567369689941e+02 2.799359790515e-04
3.567368164062e+02 1.553421141580e-03
3.567366638184e+02 5.894167348742e-03
3.567365417480e+02 4.097067750990e-03
3.567363891602e+02 1.963706687093e-03
3.567362365723e+02 -1.877717324533e-03
3.567361145020e+02 3.943958319724e-03
3.567359619141e+02 4.968875087798e-03
3.567358093262e+02 2.100596204400e-03
3.567356872559e+02 4.104860126972e-03
3.567355346680e+02 1.002222415991e-03
3.567353820801e+02 3.063081530854e-03
3.567352600098e+02 5.080781411380e-03
3.567351074219e+02 6.205662619323e-03
3.567349548340e+02 1.461614156142e-03
3.567348327637e+02 -4.040759522468e-04
3.567346801758e+02 3.749499737751e-04
3.567345275879e+02 1.528762979433e-03
3.567344055176e+02 5.021462216973e-03
3.567342529297e+02 3.830498084426e-03
3.567341003418e+02 1.200574915856e-02
3.567339477539e+02 1.414733193815e-02
3.567338256836e+02 1.264263223857e-02
3.567336730957e+02 1.429877616465e-02
3.567335205078e+02 1.502653118223e-02
3.567333984375e+02 3.269875887781e-03
3.567332458496e+02 -2.031146083027e-03
3.567330932617e+02 3.214095253497e-03
3.567329711914e+02 7.044751197100e-03
3.567328186035e+02 1.296151988208e-02
3.567326660156e+02 1.582889817655e-02
3.567325439453e+02 1.773341931403e-02
3.567323913574e+02 3.364415466785e-02
3.567322387695e+02 5.379713326693e-02
3.567321166992e+02 8.065984398127e-02
3.567319641113e+02 1.025103926659e-01
3.567318115234e+02 1.519778221846e-01
3.567316894531e+02 2.662968337536e-01
3.567315368652e+02 5.695860981941e-01
3.567313842773e+02 1.297321796417e+00
3.567312622070e+02 2.462175607681e+00
3.567311096191e+02 3.903933286667e+00
3.567309570312e+02 4.745556354523e+00
3.567308349609e+02 4.484085083008e+00
3.567306823730e+02 4.262664318085e+00
3.567305297852e+02 3.384643077850e+00
3.567303771973e+02 2.050784349442e+00
3.567302551270e+02 9.636234641075e-01
3.567301025391e+02 4.167449176311e-01
3.567299499512e+02 2.281022965908e-01
3.567298278809e+02 1.319785416126e-01
3.567296752930e+02 8.267299085855e-02
3.567295227051e+02 5.248246341944e-02
3.567294006348e+02 3.849790617824e-02
3.567292480469e+02 2.417019754648e-02
3.567290954590e+02 1.723417267203e-02
3.567289733887e+02 1.582030393183e-02
3.567288208008e+02 1.818202622235e-02
3.567286682129e+02 1.223713625222e-02
3.567285461426e+02 1.830966956913e-02
3.567283935547e+02 2.384513430297e-02
3.567282409668e+02 1.402834430337e-02
3.567281188965e+02 5.005843471736e-03
3.567279663086e+02 4.618848615792e-04
3.567278137207e+02 -7.486848626286e-03
3.567276916504e+02 -9.330042637885e-03
3.567275390625e+02 -2.424006583169e-03
3.567273864746e+02 4.597726743668e-03
3.567272644043e+02 -4.753717221320e-03
3.567271118164e+02 -1.629955135286e-03
3.567269592285e+02 6.501165218651e-03
3.567268371582e+02 -4.260468762368e-03
3.567266845703e+02 -2.662739716470e-04
3.567265319824e+02 9.483828209341e-03
3.567263793945e+02 2.283558249474e-03
3.567262573242e+02 2.415723400190e-03
3.567261047363e+02 7.512354757637e-03
3.567259521484e+02 5.315579939634e-03
3.567258300781e+02 -2.837196225300e-03
3.567256774902e+02 1.635924680158e-03
3.567255249023e+02 4.884864203632e-03
3.567254028320e+02 9.237820282578e-03
3.567252502441e+02 3.744146553800e-03
3.567250976562e+02 1.473392127082e-03
3.567249755859e+02 1.345180557109e-03
3.567248229980e+02 -3.248458262533e-03
3.567246704102e+02 -5.935238208622e-03
3.567245483398e+02 2.418237563688e-04
3.567243957520e+02 1.423814333975e-03
3.567242431641e+02 -1.819769269787e-03
3.567241210938e+02 6.859217537567e-04
3.567239685059e+02 7.496873848140e-03
3.567238159180e+02 9.180753491819e-03
3.567236938477e+02 8.955013006926e-03
3.567235412598e+02 7.329853251576e-03
3.567233886719e+02 -3.853739704937e-03
3.567232666016e+02 -1.537574571557e-03
3.567231140137e+02 1.003378164023e-02
3.567229614258e+02 5.985777359456e-03
3.567228393555e+02 2.039756625891e-03
3.567226867676e+02 7.456471677870e-03
3.567225341797e+02 -2.984338440001e-03
3.567223815918e+02 -1.699369866401e-03
3.567222595215e+02 4.888082621619e-04

